bug_id,bug_report,solution
1,Unable to login with correct credentials,Solution to bug report
2,Dark mode not working on the latest update,Solution to bug report
3,Unable to update profile picture,Solution to bug report
4,Search function returns incorrect results,Solution to bug report
5,Unable to login with correct credentials,Solution to bug report
6,Unable to update profile picture,Solution to bug report
7,Dark mode not working on the latest update,Solution to bug report
8,App does not send notifications,Solution to bug report
9,Dark mode not working on the latest update,Solution to bug report
10,App freezes when navigating to settings,Solution to bug report
11,Unable to update profile picture,Solution to bug report
12,App does not send notifications,Solution to bug report
13,Search function returns incorrect results,Solution to bug report
14,Error message 'Network error' appears when saving profile,Solution to bug report
15,Error message 'Network error' appears when saving profile,Solution to bug report
16,Search function returns incorrect results,Solution to bug report
17,Error message 'Network error' appears when saving profile,Solution to bug report
18,Unable to update profile picture,Solution to bug report
19,App logs out users unexpectedly,Solution to bug report
20,Unable to update profile picture,Solution to bug report
21,App does not send notifications,Solution to bug report
22,Search function returns incorrect results,Solution to bug report
23,Dark mode not working on the latest update,Solution to bug report
24,App logs out users unexpectedly,Solution to bug report
25,Search function returns incorrect results,Solution to bug report
26,Unable to login with correct credentials,Solution to bug report
27,Unable to login with correct credentials,Solution to bug report
28,App does not send notifications,Solution to bug report
29,App does not send notifications,Solution to bug report
30,Dark mode not working on the latest update,Solution to bug report
31,App does not send notifications,Solution to bug report
32,App does not send notifications,Solution to bug report
33,App freezes when navigating to settings,Solution to bug report
34,App freezes when navigating to settings,Solution to bug report
35,App displays blank screen on opening,Solution to bug report
36,Search function returns incorrect results,Solution to bug report
37,App does not send notifications,Solution to bug report
38,App freezes when navigating to settings,Solution to bug report
39,App logs out users unexpectedly,Solution to bug report
40,App logs out users unexpectedly,Solution to bug report
41,App crashes on startup,Solution to bug report
42,App does not send notifications,Solution to bug report
43,App freezes when navigating to settings,Solution to bug report
44,Search function returns incorrect results,Solution to bug report
45,Search function returns incorrect results,Solution to bug report
46,Unable to update profile picture,Solution to bug report
47,Unable to login with correct credentials,Solution to bug report
48,App displays blank screen on opening,Solution to bug report
49,Dark mode not working on the latest update,Solution to bug report
50,App displays blank screen on opening,Solution to bug report
51,Unable to login with correct credentials,Solution to bug report
52,App does not send notifications,Solution to bug report
53,App does not send notifications,Solution to bug report
54,App freezes when navigating to settings,Solution to bug report
55,App does not send notifications,Solution to bug report
56,App freezes when navigating to settings,Solution to bug report
57,App displays blank screen on opening,Solution to bug report
58,Error message 'Network error' appears when saving profile,Solution to bug report
59,Search function returns incorrect results,Solution to bug report
60,App does not send notifications,Solution to bug report
61,Error message 'Network error' appears when saving profile,Solution to bug report
62,Unable to login with correct credentials,Solution to bug report
63,Unable to update profile picture,Solution to bug report
64,Dark mode not working on the latest update,Solution to bug report
65,App crashes on startup,Solution to bug report
66,App crashes on startup,Solution to bug report
67,App does not send notifications,Solution to bug report
68,Dark mode not working on the latest update,Solution to bug report
69,App does not send notifications,Solution to bug report
70,App does not send notifications,Solution to bug report
71,App logs out users unexpectedly,Solution to bug report
72,App does not send notifications,Solution to bug report
73,Error message 'Network error' appears when saving profile,Solution to bug report
74,App crashes on startup,Solution to bug report
75,App does not send notifications,Solution to bug report
76,Error message 'Network error' appears when saving profile,Solution to bug report
77,App displays blank screen on opening,Solution to bug report
78,App displays blank screen on opening,Solution to bug report
79,App logs out users unexpectedly,Solution to bug report
80,Dark mode not working on the latest update,Solution to bug report
81,App does not send notifications,Solution to bug report
82,Error message 'Network error' appears when saving profile,Solution to bug report
83,App logs out users unexpectedly,Solution to bug report
84,App logs out users unexpectedly,Solution to bug report
85,Dark mode not working on the latest update,Solution to bug report
86,Unable to login with correct credentials,Solution to bug report
87,App displays blank screen on opening,Solution to bug report
88,App freezes when navigating to settings,Solution to bug report
89,Search function returns incorrect results,Solution to bug report
90,Unable to login with correct credentials,Solution to bug report
91,App displays blank screen on opening,Solution to bug report
92,App does not send notifications,Solution to bug report
93,Unable to update profile picture,Solution to bug report
94,Error message 'Network error' appears when saving profile,Solution to bug report
95,Error message 'Network error' appears when saving profile,Solution to bug report
96,App does not send notifications,Solution to bug report
97,Unable to update profile picture,Solution to bug report
98,Unable to login with correct credentials,Solution to bug report
99,App freezes when navigating to settings,Solution to bug report
100,Dark mode not working on the latest update,Solution to bug report
